visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,booking_bool
187,NULL,NULL,219,3,3.5,1,2.83,0.0438,4.95,104.77,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,4,4,1,2.2,0.0149,5.03,170.74,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,0.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,3,4.5,1,2.2,0.0245,4.92,179.8,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,2,4,1,2.83,0.0125,4.39,602.77,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,-1.0,0.0,5.0,-1.0,0.0,5.0,NULL,NULL,NULL,0.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.0,0.0,5.0,0
187,NULL,NULL,219,4,3.5,1,2.64,0.1241,4.93,143.58,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,4,4.5,1,2.77,0.1302,5.2,195.32,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,7.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,7.0,0
187,NULL,NULL,219,3,3.5,1,2.2,0.0356,4.81,129.35,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,2,0,0,1.61,NULL,4.14,85.37,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
187,NULL,NULL,219,4,4,1,2.56,0.1238,5.18,150.05,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,6.0,0
187,NULL,NULL,219,4,4,1,2.83,0.1028,5.15,280.69,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
187,NULL,NULL,219,3,0,1,2.2,NULL,5.08,190.14,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,1.0,0.0,11.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,0
